Kundenname,Alter,Zahlungsmethode,ø Preis,Menge,Datum,Uhrzeit
Achim Mühle-Hermighausen,33,Bar,13.99,5,18.10.2022,16:49:49
Margita Hendriks,23,Bar,13.99,2,18.10.2022,17:08:18
Raik Benthin MBA.,27,Bar,15.99,2,18.10.2022,17:31:33
Sonja Huhn B.Sc.,51,Bar,36.99,7,18.10.2022,17:34:43
Wieland Benthin-Röhrdanz,56,Kreditkarte,32.99,4,18.10.2022,17:48:46
Ing. Manuel Hellwig,52,Kreditkarte,41.99,3,18.10.2022,18:29:27
Annika Ortmann,36,EC-Karte,13.99,3,18.10.2022,19:05:24
Ralf Albers,27,Bar,22.99,1,18.10.2022,19:09:02
Rüdiger Barkholz,42,EC-Karte,55.99,3,19.10.2022,10:23:05
Kenan Jungfer,32,EC-Karte,16.99,1,19.10.2022,10:48:12
Dipl.-Ing. Karola Gerlach B.A.,23,EC-Karte,22.99,3,19.10.2022,11:01:40
Ortrun Boucsein,62,EC-Karte,36.99,4,19.10.2022,11:40:46
Hans-Dieter Dippel B.A.,28,EC-Karte,19.99,3,19.10.2022,11:41:21
Milena Kitzmann-Heintze,25,Bar,23.99,1,19.10.2022,12:05:18
Heinfried Graf MBA.,34,EC-Karte,15.99,2,19.10.2022,12:22:50
Zenta Nette,57,Bar,39.99,6,19.10.2022,12:37:15
Dipl.-Ing. Nadin Etzler,56,Kreditkarte,43.99,5,19.10.2022,13:00:59
Blanka Drubin B.A.,34,EC-Karte,21.99,1,19.10.2022,13:24:53
Christian Huhn-Freudenberger,59,EC-Karte,36.99,3,19.10.2022,14:12:56
Univ.Prof. Rudolf Köster B.Eng.,24,EC-Karte,24.99,2,19.10.2022,14:15:08
Maximilian Losekann,28,Bar,17.99,2,19.10.2022,14:52:24
Gilbert Warmer,25,Bar,24.99,2,19.10.2022,15:03:21
Dr. Lena Eigenwillig,55,EC-Karte,38.99,2,19.10.2022,15:07:56
Hans-Hinrich Seifert,45,Kreditkarte,39.99,2,19.10.2022,15:24:49
Univ.Prof. Almuth Kobelt B.Eng.,31,EC-Karte,15.99,3,19.10.2022,15:30:30
Elke Bonbach,69,Kreditkarte,36.99,7,19.10.2022,15:42:15
Patricia Trommler,33,Bar,18.99,6,19.10.2022,16:20:37
Valeska Neuschäfer,29,Bar,19.99,5,19.10.2022,16:39:34
Heidi Metz-Gierschner,29,Bar,18.99,3,19.10.2022,17:19:43
Ing. Geert Junk B.Sc.,31,Kreditkarte,25.99,4,19.10.2022,17:34:27
Herr Erkan Wulf,66,Kreditkarte,25.99,3,19.10.2022,18:12:40
Univ.Prof. Eckhardt Austermühle B.Sc.,47,Bar,48.99,4,19.10.2022,18:17:02
Vito Karge,29,Bar,22.99,3,19.10.2022,18:20:05
Kunibert Wähner-Eberth,27,Bar,22.99,6,19.10.2022,18:49:59
Felix Becker,31,EC-Karte,21.99,2,19.10.2022,19:26:24
Leonard Bolnbach B.Sc.,26,Bar,10.99,5,19.10.2022,19:30:31
Frederik Wieloch,63,Kreditkarte,43.99,7,20.10.2022,10:03:37
Ercan Mende,35,Bar,24.99,2,20.10.2022,10:04:53
Hans-Jochen Wende,71,Bar,37.99,3,20.10.2022,11:22:47
Prof. Reza Zorbach B.Sc.,41,Bar,17.99,1,20.10.2022,11:32:31
Dr. Annemie Kramer,32,Kreditkarte,23.99,3,20.10.2022,11:39:37
Benita Bender-Klapp,21,Bar,30.99,1,20.10.2022,11:59:34
Hans-Adolf Plath,61,Bar,35.99,5,20.10.2022,12:04:18
Ing. Fredo Harloff MBA.,30,Kreditkarte,24.99,2,20.10.2022,12:16:02
Tony Adler,66,EC-Karte,37.99,5,20.10.2022,12:19:15
Jadwiga Dörschner B.Eng.,58,Bar,50.99,6,20.10.2022,12:58:09
Prof. Gabriele Birnbaum,30,EC-Karte,24.99,5,20.10.2022,13:30:25
Mathias Trub,23,Kreditkarte,22.99,1,20.10.2022,13:38:03
Hajo Kuhl,48,Kreditkarte,36.99,10,20.10.2022,13:40:12
Vinzenz Scholz,49,Bar,30.99,9,20.10.2022,13:46:53
Prof. Ella Adolph B.A.,31,Kreditkarte,23.99,3,20.10.2022,14:12:43
Margaretha Henschel,26,EC-Karte,18.99,4,20.10.2022,14:22:18
Irma Liebelt B.Eng.,26,Bar,22.99,2,20.10.2022,14:32:21
Prof. Danielle Mude B.A.,20,Kreditkarte,22.99,5,20.10.2022,15:17:59
Luise Barkholz,31,Bar,22.99,1,20.10.2022,15:18:06
Erdal Ditschlerin-Hartmann,46,EC-Karte,35.99,5,20.10.2022,17:16:46
Dr. Theresia Hartung,31,EC-Karte,18.99,5,20.10.2022,17:23:44
Elfi Jockel B.Sc.,36,Kreditkarte,22.99,2,20.10.2022,17:28:28
Ing. Vinzenz Zirme,21,EC-Karte,14.99,2,20.10.2022,17:39:40
Gertrude Pechel,54,Kreditkarte,38.99,4,20.10.2022,18:08:12
Ingrid Werner,36,EC-Karte,24.99,2,20.10.2022,18:25:28
Nermin Schaaf,52,Kreditkarte,32.99,6,20.10.2022,19:44:50
Frank-Peter Plath,28,Kreditkarte,19.99,3,20.10.2022,19:51:56
Gerolf Haering,29,EC-Karte,15.99,1,21.10.2022,10:30:15
Giesela Tintzmann,31,Bar,24.99,2,21.10.2022,10:37:50
Albertine Davids B.A.,80,Kreditkarte,42.99,6,21.10.2022,11:14:37
Dr. Liesbeth Jacobi Jäckel,32,Bar,26.99,2,21.10.2022,11:39:34
Gotthilf Salz,24,Bar,19.99,2,21.10.2022,11:45:41
Linda Jäkel,30,EC-Karte,16.99,3,21.10.2022,11:56:59
Ramazan Dehmel B.Sc.,46,Kreditkarte,49.99,2,21.10.2022,12:37:34
Mina Klemm-Pärtzelt,30,Bar,22.99,4,21.10.2022,12:46:56
Ing. Thorsten Thies,53,Kreditkarte,44.99,5,21.10.2022,13:54:06
Prof. Oxana Nette B.A.,27,EC-Karte,18.99,3,21.10.2022,14:04:19
Isabella Wulf,26,Bar,15.99,1,21.10.2022,15:18:47
Heinz Seifert,22,EC-Karte,21.99,2,21.10.2022,16:14:09
Hans Georg Heuser-Rörricht,66,Bar,38.99,6,21.10.2022,16:19:12
Sigurd Caspar,50,Bar,33.99,4,21.10.2022,16:21:09
Patrick Ullmann,52,Kreditkarte,26.99,7,21.10.2022,16:58:53
Univ.Prof. Wolfram Gutknecht,54,EC-Karte,34.99,4,21.10.2022,17:04:25
Jessica Stadelmann MBA.,51,EC-Karte,41.99,8,21.10.2022,17:15:31
Dipl.-Ing. Lieselotte Rädel,31,EC-Karte,13.99,4,21.10.2022,17:20:22
Elfie Geißler,50,Kreditkarte,42.99,8,21.10.2022,17:47:25
Wieland Staude-Seifert,45,Kreditkarte,34.99,3,21.10.2022,17:52:00
Univ.Prof. Miroslaw Schleich B.Sc.,32,Bar,17.99,1,21.10.2022,18:10:28
Hella Weinhold B.Sc.,49,Kreditkarte,35.99,3,21.10.2022,18:36:03
Marta Heintze,30,Kreditkarte,17.99,5,21.10.2022,18:40:44
Univ.Prof. Janett Mans,62,Kreditkarte,48.99,10,21.10.2022,18:50:41
Corinna Wesack,58,Bar,33.99,5,21.10.2022,19:26:50
Lina Hornich B.Eng.,24,EC-Karte,24.99,1,21.10.2022,19:27:06
Frank-Michael Weitzel-Wende,23,Bar,27.99,5,21.10.2022,19:59:15
Britt Adolph-Gunpf,28,Kreditkarte,20.99,2,22.10.2022,10:08:22
Zeki Hamann,52,Kreditkarte,38.99,4,22.10.2022,10:24:50
Elsbeth Rohleder,46,EC-Karte,36.99,4,22.10.2022,10:28:47
Franz-Josef Rohleder B.A.,33,EC-Karte,15.99,3,22.10.2022,10:42:09
Ingeborg Schüler,65,Kreditkarte,42.99,5,22.10.2022,11:14:28
Stella Döhn,68,EC-Karte,31.99,4,22.10.2022,12:07:44
Katharine Reuter,16,Bar,15.99,3,22.10.2022,12:18:03
Virginia Zimmer,48,EC-Karte,43.99,5,22.10.2022,12:37:19
Univ.Prof. Herlinde Höfig,61,EC-Karte,44.99,3,22.10.2022,12:37:38
Andrey Bolnbach,49,Bar,29.99,7,22.10.2022,12:48:32
Christel Bruder,32,Bar,18.99,4,22.10.2022,13:03:25
Prof. Filiz Freudenberger B.Sc.,28,Bar,22.99,6,22.10.2022,15:03:00
Carla Boucsein,22,EC-Karte,19.99,5,22.10.2022,15:05:54
Jasmina Ortmann,25,EC-Karte,17.99,3,22.10.2022,15:15:35
Vitus Rörricht,50,Bar,43.99,4,22.10.2022,15:21:57
Ladislaus Heintze MBA.,33,Kreditkarte,22.99,3,22.10.2022,15:48:41
Dorit Weinhage,32,EC-Karte,22.99,2,22.10.2022,16:09:31
Karl-Georg Hesse,19,Bar,15.99,4,22.10.2022,16:24:28
Sylvio Carsten,62,EC-Karte,42.99,5,22.10.2022,17:29:57
Gottlieb Hövel-Wulf,29,EC-Karte,21.99,2,22.10.2022,18:13:47
Hansjörg Trupp MBA.,30,Bar,20.99,5,22.10.2022,18:29:13
Gundolf Scholtz-Kraushaar,22,EC-Karte,19.99,3,22.10.2022,18:30:54
Aleksandar Kabus B.Eng.,44,Bar,44.99,4,22.10.2022,18:32:38
Inge Pechel,27,Bar,22.99,2,22.10.2022,18:36:03
Tatiana Ladeck,32,Bar,21.99,2,22.10.2022,19:12:06
Veronika Mude,52,Bar,43.99,8,22.10.2022,19:15:12
Carmen Schinke MBA.,31,EC-Karte,12.99,4,22.10.2022,19:27:22
Sahin Aumann-Gorlitz,25,EC-Karte,18.99,3,22.10.2022,19:50:16
Yusuf Warmer,30,Kreditkarte,22.99,3,23.10.2022,10:00:03
Andrzej Seip,18,Bar,17.99,1,23.10.2022,10:51:06
Nelli Schulz,58,Bar,47.99,4,23.10.2022,11:02:44
Prof. Horst-Dieter Tlustek B.A.,33,Kreditkarte,23.99,5,23.10.2022,11:10:54
Darius Rosemann,23,Kreditkarte,14.99,1,23.10.2022,11:51:35
Domenico Jungfer B.A.,29,Kreditkarte,12.99,3,23.10.2022,11:59:22
Univ.Prof. Rena Hofmann B.Sc.,30,Kreditkarte,27.99,4,23.10.2022,12:50:10
Elke Junitz,33,Bar,22.99,5,23.10.2022,13:19:00
Natali Jungfer,48,EC-Karte,56.99,3,23.10.2022,13:34:41
Dr. Kristian Süßebier MBA.,22,Bar,19.99,2,23.10.2022,13:44:00
Madeleine Bonbach-Ruppert,50,Bar,37.99,2,23.10.2022,14:15:51
Univ.Prof. Anne Ritter B.Sc.,57,Bar,53.99,10,23.10.2022,14:34:10
Herr Nikolai Weinhage B.Sc.,26,Bar,26.99,7,23.10.2022,14:35:32
Ilja Schönland-Hoffmann,34,Kreditkarte,20.99,1,23.10.2022,14:50:44
Silvana Buchholz,60,Bar,47.99,9,23.10.2022,15:13:57
Eberhardt Beier,28,Kreditkarte,16.99,2,23.10.2022,15:42:48
Herwig Sölzer-Köhler,31,Kreditkarte,26.99,2,23.10.2022,15:45:19
Danny Aumann,49,EC-Karte,36.99,7,23.10.2022,15:45:25
Jo Stahr,42,Kreditkarte,37.99,4,23.10.2022,15:49:13
Karina Mosemann,50,Bar,45.99,7,23.10.2022,16:21:35
Ing. Alf Segebahn,22,EC-Karte,19.99,3,23.10.2022,16:29:38
Heinz-Dieter van der Dussen,71,EC-Karte,35.99,5,23.10.2022,16:42:26
Hanni Gnatz B.Eng.,21,Bar,20.99,3,23.10.2022,18:48:51
Valeska Scheuermann,35,Bar,22.99,2,23.10.2022,19:01:29
Darius Ladeck B.Sc.,35,Kreditkarte,14.99,5,23.10.2022,19:33:16
Timo Wieloch,32,EC-Karte,18.99,5,23.10.2022,19:35:16
Volker Hövel,32,EC-Karte,10.99,2,23.10.2022,19:36:19
Nathalie Börner,37,Kreditkarte,27.99,3,24.10.2022,10:14:13
Amanda Kusch,27,Kreditkarte,22.99,2,24.10.2022,10:17:01
Prof. Aysel Lorch MBA.,54,EC-Karte,36.99,7,24.10.2022,10:21:19
Cynthia Jüttner,58,EC-Karte,35.99,6,24.10.2022,10:21:32
Kaspar Holsten,22,Kreditkarte,19.99,3,24.10.2022,11:05:04
Urszula Tintzmann,37,Bar,21.99,1,24.10.2022,11:06:38
Gerwin Reichmann-Pölitz,44,Kreditkarte,53.99,4,24.10.2022,11:16:57
Gernot Gotthard MBA.,54,Kreditkarte,38.99,4,24.10.2022,11:20:48
Dr. Johann Reuter,54,Bar,35.99,4,24.10.2022,11:31:35
Myriam Lübs MBA.,32,EC-Karte,12.99,5,24.10.2022,11:36:04
Wiltrud Wohlgemut,57,Bar,49.99,5,24.10.2022,11:40:29
Ulrich Koch II B.A.,62,Kreditkarte,39.99,4,24.10.2022,12:05:54
Univ.Prof. Ruth Trupp,51,Kreditkarte,56.99,6,24.10.2022,12:10:10
Univ.Prof. Gülten Johann MBA.,24,Bar,21.99,3,24.10.2022,13:15:26
Eduard Harloff,34,EC-Karte,17.99,6,24.10.2022,13:22:23
Clara Junk,26,Bar,26.99,2,24.10.2022,13:28:48
Ludmilla Bloch,27,Bar,24.99,4,24.10.2022,13:34:16
Frau Hedi Finke B.A.,57,Kreditkarte,34.99,5,24.10.2022,14:22:07
Univ.Prof. Sylvie Höfig B.Sc.,19,Kreditkarte,22.99,5,24.10.2022,14:52:39
Cäcilia Sölzer,28,EC-Karte,17.99,2,24.10.2022,15:02:42
José Söding,55,Kreditkarte,43.99,5,24.10.2022,15:05:41
Karl-Peter Albers,49,Bar,40.99,7,24.10.2022,15:12:32
Ing. Dietlinde Weimer,24,Kreditkarte,16.99,3,24.10.2022,16:05:13
Vitali Käster,56,Bar,35.99,4,24.10.2022,16:59:45
Anneliese Heidrich-Hethur,61,Bar,43.99,3,24.10.2022,17:13:51
Zdravko Zorbach,19,Kreditkarte,11.99,7,24.10.2022,18:12:07
Henrike Naser,56,Bar,35.99,4,24.10.2022,19:17:57
Ildiko Ebert B.A.,25,Bar,16.99,2,24.10.2022,19:59:23
Hans-Karl Hartmann,57,Bar,36.99,6,25.10.2022,10:14:45
Louis Hübel-Mentzel,67,Kreditkarte,24.99,3,25.10.2022,10:28:10
Dipl.-Ing. Felizitas Juncken,29,Kreditkarte,17.99,2,25.10.2022,10:28:13
Ayse Etzler,29,Bar,14.99,5,25.10.2022,11:22:45
Ing. Lisbeth Lübs,58,Kreditkarte,40.99,3,25.10.2022,11:37:20
Viktor Klapp,32,Kreditkarte,16.99,3,25.10.2022,12:01:04
Dr. Claudia Karz MBA.,63,EC-Karte,40.99,4,25.10.2022,12:06:01
Konstantinos Schenk,25,Kreditkarte,18.99,2,25.10.2022,13:11:55
Traute Löchel,26,Bar,19.99,4,25.10.2022,13:51:54
Bertold Fritsch,51,Bar,35.99,5,25.10.2022,14:28:23
Dipl.-Ing. Reinhild Rogge B.A.,35,Bar,16.99,1,25.10.2022,15:29:51
Tania Jacobi Jäckel,31,EC-Karte,21.99,4,25.10.2022,15:34:26
Antonie Rörricht,54,Bar,41.99,3,25.10.2022,16:04:01
José Beyer,30,Kreditkarte,20.99,3,25.10.2022,16:12:58
Clarissa Börner,31,EC-Karte,16.99,3,25.10.2022,16:33:20
Dipl.-Ing. Adalbert Nohlmans,30,EC-Karte,16.99,3,25.10.2022,16:59:29
Conrad Röhrdanz,35,EC-Karte,13.99,3,25.10.2022,17:22:29
Ilhan Pechel,35,EC-Karte,26.99,1,25.10.2022,17:31:10
Sabina Henschel-Putz,72,EC-Karte,37.99,7,25.10.2022,17:41:48
Cilli Schacht,42,Bar,31.99,3,25.10.2022,18:02:39
Lara Mühle,24,EC-Karte,22.99,3,25.10.2022,18:16:26
Rose Scholz,28,Kreditkarte,18.99,2,25.10.2022,18:19:35
Agnes Krause,54,Bar,41.99,4,25.10.2022,18:31:32
Univ.Prof. Gülsen Karz B.Eng.,63,Bar,34.99,3,25.10.2022,18:33:07
Ottfried Bohnbach-Rörricht,56,Bar,42.99,2,25.10.2022,19:16:36
Janko Bolnbach,25,EC-Karte,19.99,1,25.10.2022,19:23:42
Carina Lindau,32,Bar,16.99,4,25.10.2022,19:27:17
Herr Dennis Ortmann,44,Bar,50.99,8,26.10.2022,10:14:58
Christa-Maria Reichmann,64,Bar,36.99,4,26.10.2022,10:47:33
Egbert Stoll,31,EC-Karte,17.99,3,26.10.2022,11:44:42
Herr Dagobert Naser,26,EC-Karte,19.99,1,26.10.2022,11:54:39
Marie-Louise Heintze-Birnbaum,38,EC-Karte,15.99,4,26.10.2022,11:58:20
Kuno Wirth B.Eng.,23,Bar,20.99,1,26.10.2022,11:59:42
Ignaz Römer B.A.,63,EC-Karte,47.99,3,26.10.2022,12:15:49
Erdmute Heinrich,30,EC-Karte,22.99,3,26.10.2022,12:20:33
Dipl.-Ing. Gerhardt Wernecke B.Sc.,53,Bar,36.99,9,26.10.2022,12:20:52
Prof. Torsten Aumann,48,Bar,40.99,7,26.10.2022,12:40:26
Dorothe Hendriks,21,Bar,23.99,1,26.10.2022,13:18:14
Thea Blümel-Holsten,27,EC-Karte,20.99,2,26.10.2022,13:21:45
Angela Naser-Seifert,27,EC-Karte,17.99,2,26.10.2022,13:24:30
Rebecca Roskoth B.Sc.,24,Bar,18.99,1,26.10.2022,14:10:55
Annelore Beckmann,32,Kreditkarte,18.99,3,26.10.2022,14:24:52
Isabel Hettner,29,EC-Karte,13.99,1,26.10.2022,14:45:48
Leopoldine Buchholz,67,EC-Karte,33.99,4,26.10.2022,14:47:23
Ilka Patberg,28,EC-Karte,25.99,7,26.10.2022,14:54:17
Henrik Bien-Becker,23,EC-Karte,25.99,2,26.10.2022,16:17:36
Hanny Drub,55,EC-Karte,33.99,6,26.10.2022,16:25:17
Antonino Schuchhardt,25,EC-Karte,21.99,1,26.10.2022,16:26:58
Songül Jäkel,62,Kreditkarte,40.99,5,26.10.2022,17:05:23
Zdenka Scheuermann,26,Kreditkarte,29.99,1,26.10.2022,17:14:08
Lia Dowerg-Kuhl,29,Kreditkarte,21.99,1,26.10.2022,17:37:01
Prof. Yvette Bender B.A.,37,Bar,13.99,3,26.10.2022,18:47:14
Gerti Thanel,31,EC-Karte,28.99,7,26.10.2022,19:05:11
Ida Scheibe,34,Bar,26.99,3,26.10.2022,19:30:04
Yvonne Berger,31,EC-Karte,25.99,1,26.10.2022,19:32:07
Hiltraud Schaaf,24,Kreditkarte,24.99,6,27.10.2022,10:38:46
Dipl.-Ing. Nikolaus Nerger,66,Kreditkarte,39.99,4,27.10.2022,11:18:27
Hartmuth Klingelhöfer-Wagenknecht,25,Kreditkarte,14.99,1,27.10.2022,11:21:33
Hans-Dieter Wernecke,54,Kreditkarte,39.99,5,27.10.2022,11:55:01
Jan Linke,22,Bar,25.99,3,27.10.2022,12:18:36
Martha Drub B.A.,26,Bar,24.99,5,27.10.2022,13:12:49
Dr. Udo Roht B.A.,33,Bar,22.99,2,27.10.2022,13:31:42
Antonia Weimer-Fischer,24,EC-Karte,23.99,3,27.10.2022,14:44:55
Cemil Klingelhöfer,31,Bar,29.99,4,27.10.2022,14:48:58
Adolfine Schweitzer,49,Kreditkarte,40.99,3,27.10.2022,14:55:36
Burkard Adolph,56,Kreditkarte,50.99,6,27.10.2022,15:21:30
Prof. Lars Segebahn,50,Bar,39.99,6,27.10.2022,15:26:20
Dipl.-Ing. Sibille Weller,32,Kreditkarte,18.99,3,27.10.2022,15:30:39
Krzysztof Klemm,77,EC-Karte,39.99,4,27.10.2022,16:14:17
Mareile Kabus,30,Kreditkarte,29.99,1,27.10.2022,16:19:21
Herr Balthasar Niemeier,20,Bar,22.99,3,27.10.2022,16:50:05
Hilma Niemeier-Albers,62,Bar,28.99,2,27.10.2022,16:58:11
Annelie Staude B.A.,30,EC-Karte,19.99,2,27.10.2022,17:05:14
Branko Stoll-Knappe,65,EC-Karte,34.99,4,27.10.2022,17:28:04
Freddy Bähr,29,Kreditkarte,18.99,3,27.10.2022,17:41:11
Carmine Hertrampf,27,EC-Karte,22.99,2,27.10.2022,17:47:46
Jolanthe Hein,26,Bar,17.99,1,27.10.2022,17:52:55
Evangelia Täsche,26,EC-Karte,16.99,3,27.10.2022,18:19:24
Anni Gude,55,Bar,40.99,2,27.10.2022,18:47:52
Brit Conradi,21,Bar,19.99,1,27.10.2022,19:25:08
Prof. Katarina Scheibe B.Eng.,25,Bar,26.99,3,27.10.2022,19:37:30
Krzysztof Bolander-Bender,34,Bar,20.99,4,27.10.2022,19:41:39
Hinrich Döring,39,Bar,25.99,4,28.10.2022,10:21:27
Phillip Bähr-Fröhlich,29,EC-Karte,19.99,3,28.10.2022,10:33:02
Cindy Mohaupt,22,Kreditkarte,27.99,2,28.10.2022,10:44:49
Hans-Günther Scheuermann,23,Kreditkarte,14.99,3,28.10.2022,10:52:08
Fred Weihmann,28,EC-Karte,19.99,3,28.10.2022,10:59:11
Angelique Gute-Kreusel,66,EC-Karte,42.99,6,28.10.2022,11:02:08
Ria Junken,33,EC-Karte,24.99,1,28.10.2022,11:50:24
Harro Buchholz,40,EC-Karte,38.99,6,28.10.2022,12:25:02
Petros Hübel B.Eng.,33,Kreditkarte,21.99,4,28.10.2022,12:43:46
Liesa Girschner,59,Bar,39.99,5,28.10.2022,13:00:40
Hans-Michael Butte B.A.,26,EC-Karte,22.99,2,28.10.2022,13:01:59
Erhardt Dippel,33,Kreditkarte,23.99,1,28.10.2022,13:43:14
Heinz Dieter Hering,30,EC-Karte,20.99,2,28.10.2022,13:50:52
Utz Geisler,19,Kreditkarte,19.99,3,28.10.2022,14:07:17
Dr. Suzanne Segebahn B.Sc.,28,EC-Karte,17.99,3,28.10.2022,14:24:33
Sonia Seifert,26,EC-Karte,18.99,2,28.10.2022,14:33:52
Dr. Anatol Bloch B.Eng.,27,Bar,15.99,4,28.10.2022,14:35:18
Dipl.-Ing. Hajo Koch II,53,EC-Karte,37.99,5,28.10.2022,14:51:30
Marko Dobes,60,EC-Karte,52.99,5,28.10.2022,15:06:59
Hildburg Pechel B.A.,31,Bar,28.99,4,28.10.2022,15:22:43
Eckard Jungfer-Walter,29,EC-Karte,18.99,3,28.10.2022,15:26:55
Silvio Boucsein B.A.,31,Bar,19.99,1,28.10.2022,15:46:43
Emmerich Schönland,59,Kreditkarte,38.99,5,28.10.2022,15:47:05
Ing. Helena Pärtzelt B.Sc.,72,EC-Karte,37.99,5,28.10.2022,16:29:33
Zoltan Henschel,55,Bar,39.99,4,28.10.2022,16:35:37
Annaliese Hellwig-Schleich,55,Bar,36.99,7,28.10.2022,16:46:27
Dajana Birnbaum,52,Kreditkarte,42.99,3,28.10.2022,17:58:21
Gerald Kraushaar-Stey,24,EC-Karte,24.99,2,28.10.2022,19:06:24
Sarah Henschel,32,Bar,20.99,1,29.10.2022,10:21:02
Beata Pechel,46,Bar,41.99,5,29.10.2022,10:39:50
Galina Wesack-Bärer,29,EC-Karte,10.99,4,29.10.2022,11:44:49
Andrey Mangold,61,EC-Karte,38.99,7,29.10.2022,11:59:43
Rosalia Ehlert,32,Bar,27.99,6,29.10.2022,12:10:05
Raymond Adolph,53,Kreditkarte,45.99,5,29.10.2022,12:37:56
Theresia Gotthard,31,Bar,17.99,3,29.10.2022,12:58:21
Eric Benthin,29,Bar,20.99,1,29.10.2022,13:19:15
Hans Jörg Sölzer,21,Kreditkarte,14.99,1,29.10.2022,13:29:21
Karl-August Lange-Seip,19,EC-Karte,12.99,3,29.10.2022,13:35:34
Helen Tschentscher,32,Bar,17.99,1,29.10.2022,13:54:31
Marko Geisler,23,Bar,20.99,1,29.10.2022,14:27:18
Egbert Hiller,65,EC-Karte,35.99,2,29.10.2022,15:21:30
Dr. Urte Wagenknecht B.A.,29,Kreditkarte,29.99,3,29.10.2022,15:21:56
Univ.Prof. Gabriele Paffrath B.A.,60,Kreditkarte,34.99,3,29.10.2022,15:33:40
Dr. Wojciech Birnbaum B.A.,27,Kreditkarte,15.99,3,29.10.2022,15:41:15
Cengiz Steckel,26,Bar,20.99,2,29.10.2022,16:25:46
Heiderose Bähr,26,Bar,13.99,2,29.10.2022,16:48:46
Romana Stroh,28,Kreditkarte,16.99,2,29.10.2022,16:52:24
Gusti Stey,28,EC-Karte,22.99,3,29.10.2022,17:32:37
Falk Nette,25,Kreditkarte,17.99,2,29.10.2022,17:53:40
Marie Ritter,47,Bar,36.99,6,29.10.2022,18:07:53
Necati Barth,33,Bar,16.99,2,29.10.2022,18:17:11
Josef Benthin,32,Kreditkarte,23.99,3,29.10.2022,18:43:59
Heidelore Klotz,56,EC-Karte,37.99,7,29.10.2022,19:00:27
Frau Ortrun Radisch,30,EC-Karte,21.99,3,29.10.2022,19:35:08
Herr Tibor Schwital,66,Bar,34.99,8,29.10.2022,19:59:05
Reingard Kramer-Koch,51,EC-Karte,39.99,3,30.10.2022,10:31:12
Carin Nohlmans,32,Bar,16.99,4,30.10.2022,10:44:28
Dipl.-Ing. Gaetano Möchlichen B.Eng.,27,EC-Karte,14.99,1,30.10.2022,10:58:28
Brit Cichorius,48,Bar,29.99,5,30.10.2022,11:31:12
Gretchen Caspar,54,Kreditkarte,45.99,3,30.10.2022,12:21:24
Leon Drewes,42,Bar,19.99,3,30.10.2022,12:47:15
Verena Reuter,63,EC-Karte,33.99,4,30.10.2022,13:01:34
Enver Linke,60,Bar,50.99,10,30.10.2022,13:02:18
Anne-Marie Sontag,26,Kreditkarte,18.99,3,30.10.2022,13:16:40
Jutta Hörle,56,Bar,43.99,5,30.10.2022,13:17:37
Peer Weinhold,23,Kreditkarte,19.99,3,30.10.2022,13:26:50
Imelda Boucsein,73,Bar,38.99,8,30.10.2022,13:41:02
Walli Trupp,27,EC-Karte,13.99,6,30.10.2022,14:13:37
Dino Kambs,75,Kreditkarte,28.99,3,30.10.2022,14:40:09
Margot Linke,25,EC-Karte,19.99,2,30.10.2022,14:49:18
Annita Scholl MBA.,38,Bar,33.99,8,30.10.2022,15:04:53
Gunnar Pohl,59,EC-Karte,35.99,9,30.10.2022,15:21:31
Cordula Ritter,22,EC-Karte,21.99,1,30.10.2022,16:19:53
Silvio Berger,44,Bar,48.99,7,30.10.2022,16:22:34
Fedor Salz-Johann,37,EC-Karte,24.99,2,30.10.2022,16:37:43
Ismail Rörricht,30,Bar,19.99,2,30.10.2022,16:53:44
Ing. Antje Matthäi MBA.,47,Kreditkarte,38.99,5,30.10.2022,16:57:06
Gretchen Lehmann-Herrmann,23,EC-Karte,16.99,3,30.10.2022,17:06:59
Margot Jungfer MBA.,21,EC-Karte,22.99,5,30.10.2022,17:21:56
Prof. Denise Stoll,46,EC-Karte,45.99,2,30.10.2022,18:22:02
Constantin Kraushaar,52,EC-Karte,40.99,8,30.10.2022,19:09:59
Eric Martin-Scholl,36,EC-Karte,24.99,3,30.10.2022,19:45:47
Alfredo Rust,23,EC-Karte,16.99,4,30.10.2022,19:46:09
Dr. Frederic Bolzmann B.Eng.,46,Bar,42.99,7,30.10.2022,19:55:21
Friedrich Schlosser,21,EC-Karte,21.99,2,31.10.2022,10:20:44
Dipl.-Ing. Heinz-Wilhelm Hartung B.A.,25,Kreditkarte,16.99,1,31.10.2022,10:25:19
Heinz-Josef Heser,49,Bar,38.99,3,31.10.2022,11:00:03
Frau Imelda Löffler B.Eng.,32,Bar,26.99,1,31.10.2022,11:33:37
Gülten Wirth,28,Bar,17.99,2,31.10.2022,12:32:31
Prof. Clemens Eimer,35,Kreditkarte,15.99,2,31.10.2022,12:55:34
Hanna Speer,61,EC-Karte,30.99,5,31.10.2022,13:07:12
Torsten Schottin-Mende,51,Kreditkarte,44.99,4,31.10.2022,13:41:50
Monica Henk B.A.,37,Kreditkarte,21.99,2,31.10.2022,13:47:40
Lilli Wiek,23,Bar,20.99,3,31.10.2022,14:04:06
Dietmar Gotthard,58,EC-Karte,45.99,6,31.10.2022,14:11:22
Kerstin Hübel B.A.,60,Bar,44.99,2,31.10.2022,14:25:28
